head_id	head_name	relation	tail_id	tail_name	confidence	source
23918	Definition:Del Operator	equivalent_to	23942	Product Rule for Curl	0.9	equiv_section
3370	Definition:Set of Sets	equivalent_to	16235	Definition:Analysis	0.9	equiv_section
220	Definition:Image (Set Theory)	equivalent_to	3244	Definition:Direct Image Mapping	0.9	equiv_section
12075	Definition:Strictly Positive Rational Number	equivalent_to	7528	Definition:Positive/Rational Number	0.9	equiv_section
24559	Definition:Metric Induced by Norm on Division Ring	equivalent_to	25529	Definition:Open Ball/Normed Division Ring	0.9	equiv_section
27642	Definition:Plastic Constant	equivalent_to	40	Definition:Symbol	0.9	equiv_section
26263	Definition:Modified Bessel Function	equivalent_to	26265	Definition:Order of Modified Bessel Function	0.9	equiv_section
736	Cardinality of Codomain of Surjection	equivalent_to	127	Definition:Mapping	0.9	equiv_section
11385	Definition:Cartesian Plane/Ordered Pair	equivalent_to	123	Definition:Ordered Pair	0.9	equiv_section
22397	Definition:Loop	equivalent_to	471	Definition:Algebra Loop	0.9	equiv_section
4677	Definition:Natural Number	equivalent_to	15521	Definition:Finite Ordinal	0.9	equiv_section
25420	Definition:Gillion	equivalent_to	25358	Definition:Milliard	0.9	equiv_section
133	Definition:Magma	equivalent_to	134	Definition:Submagma	0.9	equiv_section
592	Definition:Unit of Ring	equivalent_to	585	Definition:Unity (Abstract Algebra)/Ring	0.9	equiv_section
24918	Definition:Norm/Vector Space	equivalent_to	22938	Definition:Norm on Vector Space	0.9	equiv_section
3370	Definition:Set of Sets	equivalent_to	130	Definition:Algebraic Structure	0.9	equiv_section
16094	Definition:Mapping Induced on Powerset by Relation	equivalent_to	16092	Definition:Direct Image Mapping/Relation	0.9	equiv_section
11835	Infinite Number of Primes of form 4n - 1	equivalent_to	731	Definition:Infinite Set	0.9	equiv_section
3218	Definition:Diameter of Quadrilateral	equivalent_to	1423	Definition:Quadrilateral	0.9	equiv_section
8852	Definition:Closed under Mapping	equivalent_to	16229	Definition:Topology (Mathematical Branch)	0.9	equiv_section
26266	Definition:Modified Bessel Function/First Kind	equivalent_to	26269	Definition:Modified Bessel Function of the Second Kind	0.9	equiv_section
17475	Definition:Harmonic Function	equivalent_to	23932	Definition:Laplacian	0.9	equiv_section
9940	Radius of Convergence from Limit of Sequence/Complex Case	equivalent_to	1581	Definition:Radius of Convergence	0.9	equiv_section
16301	Definition:Model Theory	equivalent_to	11851	Definition:Signature (Logic)	0.9	equiv_section
7528	Definition:Positive/Rational Number	equivalent_to	12075	Definition:Strictly Positive Rational Number	0.9	equiv_section
10683	Definition:Height of Polygon	equivalent_to	10684	Definition:Polygon/Height	0.9	equiv_section
20421	Definition:Pascal's Triangle/Lesser Diagonal	equivalent_to	2949	Definition:Pascal's Triangle	0.9	equiv_section
220	Definition:Image (Set Theory)	equivalent_to	6254	Definition:Preimage of Mapping	0.9	equiv_section
6025	Definition:Closed Ball	equivalent_to	25530	Definition:Closed Ball/Normed Division Ring	0.9	equiv_section
18760	Definition:Payoff Table/Entry	equivalent_to	18738	Definition:Payoff Table	0.9	equiv_section
10705	Definition:Endorelation/General Definition	equivalent_to	6124	Definition:Codomain of Relation	0.9	equiv_section
3418	Definition:Euler Diagram	equivalent_to	3397	Definition:Venn Diagram	0.9	equiv_section
8538	Definition:Variable Element	equivalent_to	8537	Definition:Constant (Category Theory)	0.9	equiv_section
2392	Definition:Free Occurrence	equivalent_to	2390	Definition:Bound Occurrence	0.9	equiv_section
753	Definition:Summation	equivalent_to	18118	Definition:Telescoping Series	0.9	equiv_section
17830	Definition:Field Norm of Quaternion	equivalent_to	1150	Definition:Vector Space	0.9	equiv_section
20141	Definition:Cullen Prime	equivalent_to	13197	Definition:Distinguish	0.9	equiv_section
7394	Definition:Indexing Set/Term	equivalent_to	7397	Definition:Term of Family	0.9	equiv_section
23943	Divergence of Vector Cross Product	equivalent_to	750	Definition:Operation	0.9	equiv_section
15986	Definition:Congruence Modulo Integer	equivalent_to	11835	Infinite Number of Primes of form 4n - 1	0.9	equiv_section
27490	Definition:Meissel-Mertens Constant	equivalent_to	27493	Definition:Hadamard-de la Vallée-Poussin Constant	0.9	equiv_section
